,Search,Tweet_Date,Original_Tweet,Cleaned_Text,leia,oplexion,sentilex,textblob
3010,Bolsonaro,2022-04-17,"@SergioAJBarrett Minha auto censura desautoriza usar os adjetivos cabíveis, para qualificar escórias políticas como Jair Bolsonaro. Este monstro precisa ser detido imediatamente. Engana-se quem pensa que só existe Ditaduras, com as instituições fechadas, basta cooptá-las.",auto censura desautoriza usar adjetivos cabiveis  qualificar escorias politicas jair bolsonaro  monstro precisa ser detido imediatamente  engana se pensa existe ditaduras  instituicoes fechadas  basta coopta las ,negativo,negativo,positivo,negativo
3011,Bolsonaro,2022-04-17,"EI BOLSONARO VAI TOMAR NO CU 
AQUI NÃO 🐳⚪⚫ https://t.co/MXMiVJJKs9",ei bolsonaro vai tomar cu aqui,neutro,neutro,neutro,neutro
3012,Bolsonaro,2022-04-17,@VictorBrazil55 Eu não aguento mais sustentar vagabundo político igual família Bolsonaro e seus aliados,aguento sustentar vagabundo politico igual familia bolsonaro aliados,neutro,negativo,neutro,positivo
3013,Bolsonaro,2022-04-17,"@horaciohudson @DeputadoFederal Se o Lula é  o pai da mentira, Bolsonaro é o avô dela.🤠🧓",lula pai mentira  bolsonaro avo dela ,neutro,neutro,neutro,neutro
3014,Bolsonaro,2022-04-17,O Presidente Bolsonaro tem meu voto garantido. https://t.co/v7XsIjiEFn,presidente bolsonaro voto garantido ,positivo,positivo,neutro,neutro
3015,Bolsonaro,2022-04-17,@Biakicis Não conheço ninguém que não apoia Bolsonaro!,conheco ninguem apoia bolsonaro ,positivo,neutro,neutro,neutro
3016,Bolsonaro,2022-04-17,@roxmo Bolsonaro deve estar chorando um rio por causa disso....kkkkk,bolsonaro deve estar chorando rio causa disso    kkkkk,negativo,neutro,neutro,positivo
3017,Bolsonaro,2022-04-17,"O bozo deve estar com saudades do lockdown. Agora, em qualquer aglomeraçãozinha, o coro é: Ei bolsonaro, vtnc!
🤣🤣🤣🤣",bozo deve estar saudades lockdown  agora  qualquer aglomeracaozinha  coro e  ei bolsonaro  vtnc ,neutro,neutro,neutro,negativo
3018,Bolsonaro,2022-04-17,Aparentemente Bolsonaro não é norte Bolsonaro não é nordeste https://t.co/vzRIr7y2Vl,aparentemente bolsonaro norte bolsonaro nordeste,neutro,neutro,neutro,positivo
3019,Bolsonaro,2022-04-17,"@detremura Não.
A gente que já está acostumado a lidar com pragas.  Tai o Bolsonaro completando 4 anos de desgoverno",nao  gente acostumado lidar pragas  tai bolsonaro completando anos desgoverno,negativo,neutro,neutro,neutro
3020,Bolsonaro,2022-04-17,Anitta arregou - Percebeu a força do Bolsonaro e disse que vai ficar calada https://t.co/djcnTZyA9N via @YouTube,anitta arregou   percebeu forca bolsonaro disse vai ficar calada via,positivo,neutro,neutro,neutro
3021,Bolsonaro,2022-04-17,"@ANTICORRUPO4 @AlessandraBrvna Desinformado vc é. O juíz que julgou a incompetencia é o mesmo que passou anos referendando a lavajato e negando todos os pedidos do Lula, mantendo-o preso, que possibilitou a vitória de Bolsonaro.
Tá tudo desenhado, só vc que não entende.",desinformado vc e  juiz julgou incompetencia passou anos referendando lavajato negando todos pedidos lula  mantendo o preso  possibilitou vitoria bolsonaro  ta tudo desenhado  vc entende ,negativo,negativo,negativo,negativo
3022,Bolsonaro,2022-04-17,"@brasil247 JAMAIS,VOTARAM NO BOLSONARO,CHEGA DE BANDIDAGEM",jamais votaram bolsonaro chega bandidagem,neutro,neutro,neutro,negativo
3023,Bolsonaro,2022-04-17,@jrguzzofatos E O BOLSONARO E O EXÉRCITO VAI DEIXAR O STF DAR O GOLPE ? JÁ PENSOU O EXÉRCITO BATER CONTINÊNCIA PARA LADRÃO EX PRESIDIÁRIO ?,bolsonaro exercito vai deixar stf dar golpe   pensou exercito bater continencia ladrao ex presidiario  ,negativo,neutro,neutro,neutro
3024,Bolsonaro,2022-04-17,@GugaNoblat Bolsonaro 22,,neutro,neutro,neutro,neutro
3025,Bolsonaro,2022-04-17,"@RobBucler @lumasarelucy @BolsonaroSP Não , apenas ver o que acontece, vida real , fatos Jair Messias Bolsonaro o melhor Presidente  do Brasil #Bolsonaro2022",  apenas ver acontece  vida real   fatos jair messias bolsonaro melhor presidente brasil,positivo,positivo,positivo,positivo
3026,Bolsonaro,2022-04-17,"Atacou a Hipocrisia , a Manipulação de seus interesses. As Redes Sociais, desmontaram e Escancaram o que são na Realidade. Bolsonaro mostrou quem são de Verdade. BOLSONARO ATE 2026... https://t.co/ZRqqg20XQW",atacou hipocrisia   manipulacao interesses  redes sociais  desmontaram escancaram realidade  bolsonaro mostrou verdade  bolsonaro ate    ,positivo,neutro,neutro,positivo
3027,Bolsonaro,2022-04-17,"NA FRENTE DE BARROSO, TABATA FAZ GRAVES ATAQUES A BOLSONARO E MINISTRO DIZ NA SEQUÊNCIA: “NÓS É QUE SOMOS OS PODERES DO BEM” (VEJA O VÍDEO) 
https://t.co/BP6svpmUoI 
A pretensão suprema... https://t.co/GXqzkpUnUi",frente barroso  tabata faz graves ataques bolsonaro ministro diz sequencia  nos poderes bem  veja video  pretensao suprema   ,negativo,neutro,neutro,positivo
3028,Bolsonaro,2022-04-17,"BOLSONARO VOLTA A CALAR OPOSITORES AO REVELAR VALOR TRILIONÁRIO INVESTIDO PELO GOVERNO NO COMBATE À PANDEMIA 
https://t.co/ql2ouqjX88 
O maior repasse de verbas federais da história do país... https://t.co/nLngKzt7sX",bolsonaro volta calar opositores revelar valor trilionario investido governo combate pandemia maior repasse verbas federais historia pais   ,positivo,negativo,negativo,neutro
3029,Bolsonaro,2022-04-17,"O FENÔMENO BOLSONARO: O DESESPERO DA VELHA MÍDIA COM A ASCENSÃO DO PRESIDENTE
https://t.co/9sE3J5hKhz
Nem mesmo pesquisas ‘suspeitas’ conseguem esconder a realidade das ruas. https://t.co/2hZ4IQKHgl",fenomeno bolsonaro  desespero velha midia ascensao presidente pesquisas suspeitas conseguem esconder realidade ruas ,negativo,neutro,neutro,positivo
3030,Bolsonaro,2022-04-17,"Que decepção a cidade onde moro Rio Grande RS, a maioria petista que nojo😡🤮 Graças a Deus Bolsonaro não depende de Rio Grande.🇧🇷🇧🇷🇧🇷",decepcao cidade onde moro rio grande rs  maioria petista nojo gracas deus bolsonaro depende rio grande ,positivo,positivo,positivo,negativo
3031,Bolsonaro,2022-04-17,"@detremura PRIMEIRO: 
Não, mas a gente não pode que o COVID nos amedrontem, já basta esses dois últimos anos. A gente tem que aprender a dominar o vírus e não o vírus nos dominar.

PS: Não sou bolsominion 

E SEGUNDO:

EI BOLSONARO VAI TOMA NO CU",primeiro  nao  gente pode covid amedrontem  basta dois ultimos anos  gente aprender dominar virus virus dominar  ps  bolsominion segundo  ei bolsonaro vai toma cu,negativo,negativo,negativo,positivo
3032,Bolsonaro,2022-04-17,"@GugaNoblat Ebaaaaaaaas,e Mitoooooooo mesmo,Olha a inveja mata,BOLSONARO 2022.Deus no Comando",ebaaaaaaaas e mitoooooooo mesmo olha inveja mata bolsonaro  deus comando,negativo,neutro,neutro,positivo
3033,Bolsonaro,2022-04-17,"@leleleleleo7 @SilviaLapa4 @Marcelima18Lima @mfriasoficial Em São Bernardo do Campo (SP) o Governo do Brasil entrega moradias para 194 famílias e melhorando a infraestrutura urbana do bairro. 
São ações do Programa Casa Verde e Amarela. O governo Bolsonaro já entregou mais de 1,2 milhão de moradias desde 2019.",bernardo campo  sp  governo brasil entrega moradias familias melhorando infraestrutura urbana bairro  acoes programa casa verde amarela  governo bolsonaro entregou   milhao moradias desde  ,positivo,negativo,negativo,positivo
3034,Bolsonaro,2022-04-17,@OsvaldoPiresFi1 Bolsonaro reeleito no primeiro turno 22 🇧🇷 presidente do Brasil,bolsonaro reeleito primeiro turno presidente brasil,neutro,negativo,negativo,positivo
3035,Bolsonaro,2022-04-17,Felipe Neto é sondado para ser o novo ministro da Justiça de Jair Bolsonaro,felipe neto sondado ser novo ministro justica jair bolsonaro,positivo,neutro,neutro,positivo
3036,Bolsonaro,2022-04-17,@CerizePedro Conte com meu voto bolsonaro  × lula= nulo,conte voto bolsonaro  lula  nulo,neutro,negativo,negativo,neutro
3037,Bolsonaro,2022-04-17,Eleitor de Bolsonaro https://t.co/mDyf6PRL0r,eleitor bolsonaro,neutro,neutro,neutro,neutro
3038,Bolsonaro,2022-04-17,@RE_BOLSONARO https://t.co/fjHgHxf9Oc,,neutro,neutro,neutro,neutro
3039,Bolsonaro,2022-04-17,@RanierQuinto @LuFF1209 @gabrielbarberes @josanti15 @carteiroreaca @jairbolsonaro Bolsonaro foi vaiado não foi?,bolsonaro vaiado foi ,neutro,neutro,neutro,neutro
3040,Bolsonaro,2022-04-17,passando pra lembrar que Bolsonaro e com letra maiuscula galera,passando pra lembrar bolsonaro letra maiuscula galera,neutro,neutro,neutro,neutro
3041,Bolsonaro,2022-04-17,"@JoaoFurtado1960 @luizfalvesjr Bolsonaro é ruim para o Brasil a vista. Lula em prestações. Não voto em Bolsonaro, mas em Lula nunca, mas nunca mais mesmo. Mesmo que Ciro, Lupi, Marina Sílva, Heloísa Helena, Aldo e quem mais da esquerda apoie ele",bolsonaro ruim brasil vista  lula prestacoes  voto bolsonaro  lula nunca  nunca mesmo  ciro  lupi  marina silva  heloisa helena  aldo esquerda apoie,negativo,negativo,neutro,negativo
3042,Bolsonaro,2022-04-17,"@garotasemfio @vuintrieri @DoctorClimao Kkk. Vcs saibam ou não, o Bolsonaro cresceu nas pesquisas por causa disto aí! Mas eu acho que vcs não querem é o lula de vota mesmo, né?",kkk  vcs saibam nao  bolsonaro cresceu pesquisas causa disto ai  acho vcs querem lula vota mesmo  ne ,negativo,neutro,neutro,positivo
3043,Bolsonaro,2022-04-17,"BOLSONARO LIBERO RAPAZ, TA TUDO LIBERADO, BEIJAR BANCO DE ÔNIBUS, LAMBER CORRIMÃO
É NOIS CARALHO https://t.co/5X84hBhkem",bolsonaro libero rapaz  ta tudo liberado  beijar banco onibus  lamber corrimao nois caralho,negativo,neutro,neutro,negativo
3044,Bolsonaro,2022-04-17,"Vem pro bonde do título regularizado que vai tirar o Bolsonaro! 💪

É só entrar no https://t.co/dlC8Tn2VrT até o dia 4 de maio e seguir as instruções. Não tem que sair de casa, nem esperar em filas. Tá fácil! https://t.co/RsTWhGmBpZ",vem pro bonde titulo regularizado vai tirar bolsonaro  entrar dia seguir instrucoes  sair casa  esperar filas  ta facil ,positivo,neutro,neutro,positivo
3045,Bolsonaro,2022-04-17,https://t.co/eiEDmwu85n,,neutro,neutro,neutro,neutro
3046,Bolsonaro,2022-04-17,@marciatiburi @Anitta @LulaOficial Bolsonaro Reeleito  no primeiro turno. Mulheres com Bolsonaro 🇧🇷🇧🇷😉 https://t.co/zGh4HQ8v0M,bolsonaro reeleito primeiro turno  mulheres bolsonaro,neutro,negativo,negativo,positivo
3047,Bolsonaro,2022-04-17,@LalaMineiraZi @MarcioM61326104 @alvesmimar3 @MarquesToalinha @mello65440 @Marbenje @leal11_vanda @Edu05freire @Nuu0204 @CleberLSantos1 @Melkpsobrinho @LEANDROCORR21 @nefertiti2022 @Eduardo57009171 @ZilaHelena @RE_BOLSONARO SDV sempre boraaaaa,sdv sempre boraaaaa,neutro,neutro,neutro,neutro
3048,Bolsonaro,2022-04-17,"@Biakicis @jairbolsonaro Aqui em nossa casa são pelos menos 7 Votos para @jairbolsonaro
#BolsonaroReeleito2022
E estou em campo todos os dias para conquistar mais e mais votos para nosso Presidente Bolsonaro.. https://t.co/PrxyqZRQPH",aqui casa menos votos campo todos dias conquistar votos presidente bolsonaro  ,neutro,neutro,neutro,positivo
3049,Bolsonaro,2022-04-17,Só faltou dizer que a barca afundou e levou toda a tripulação e os proprietários das barcas e a culpa foi do BOLSONARO que fez uma ponte! https://t.co/ageJBdsK5y,faltou dizer barca afundou levou toda tripulacao proprietarios barcas culpa bolsonaro fez ponte ,negativo,neutro,neutro,neutro
3050,Bolsonaro,2022-04-17,"@doriadeferro Coragem, enfrentou Aécio Neves e Jair Bolsonaro e trouxe as vacinas
#PSDBcomDoria",coragem  enfrentou aecio neves jair bolsonaro trouxe vacinas,positivo,neutro,neutro,neutro
3051,Bolsonaro,2022-04-17,"@dann_pilot @siteptbr Cara,totalmente desnecessário. Não sou apoiador do Bolsonaro,inclusive isso sim foi culpa dele e culpa do Lula. Pessoas com graduação em Filosofia,história,sociologia adoram discutir economia,mas fogem quando aparece alguém técnico.",cara totalmente desnecessario  apoiador bolsonaro inclusive sim culpa culpa lula  pessoas graduacao filosofia historia sociologia adoram discutir economia mas fogem aparece alguem tecnico ,negativo,neutro,neutro,positivo
3052,Bolsonaro,2022-04-17,"@Lambert_Br @bibonunes1 @SenadoFederal Nao falei de mim falei dos ministros do supremo q foram ameaçados por sara winter dani silveira bob jeff e quase todos os dias pelo bandido miliciano jair bolsonaro
O stf ja declarou q o art. 142 nao se aplica ao q os bolsonaristas querem e em questão a constituição o stf manda",nao falei mim falei ministros supremo q ameacados sara winter dani silveira bob jeff quase todos dias bandido miliciano jair bolsonaro stf ja declarou q art  nao aplica q bolsonaristas querem questao constituicao stf manda,negativo,neutro,neutro,neutro
3053,Bolsonaro,2022-04-17,Fora Bolsonaro!  Agora é Lula!,bolsonaro  agora lula ,neutro,neutro,neutro,neutro
3054,Bolsonaro,2022-04-17,@showdavida Se o Bolsonaro que é uma anta pode pq não o coelhinho? https://t.co/ZOiix71YF0,bolsonaro anta pode pq coelhinho ,neutro,neutro,neutro,neutro
3055,Bolsonaro,2022-04-17,"Grindewald o próprio Bolsonaro, sério mesmo.",grindewald proprio bolsonaro  serio mesmo ,neutro,neutro,neutro,negativo
3056,Bolsonaro,2022-04-17,@Edu05freire @MarcioM61326104 @alvesmimar3 @MarquesToalinha @mello65440 @Marbenje @leal11_vanda @Nuu0204 @CleberLSantos1 @Melkpsobrinho @LEANDROCORR21 @nefertiti2022 @Eduardo57009171 @ZilaHelena @RE_BOLSONARO @ErthalCollier SDV sempre boraaaaa,sdv sempre boraaaaa,neutro,neutro,neutro,neutro
3057,Bolsonaro,2022-04-17,"E a Moça que se diz jornalista, estava no jogo do Santos, xingou Bolsonaro e ainda postou toda orgulhosa.
https://t.co/ZacO0YaOrb",moca diz jornalista  jogo santos  xingou bolsonaro ainda postou toda orgulhosa ,neutro,neutro,neutro,positivo
3058,Bolsonaro,2022-04-17,"Assim, não faz sentido derrubarmos apenas o Bolsonaro. Derrubar a EC 95, a reforma trabalhista e a da previdência significa simplesmente estancar a sangria, retomarmos o patamar  de 2016. É o mínimo. E é por isto que aliança orgânica com neoliberais mais atrapalha que ajuda.",assim  faz sentido derrubarmos apenas bolsonaro  derrubar ec   reforma trabalhista previdencia significa simplesmente estancar sangria  retomarmos patamar   minimo  alianca organica neoliberais atrapalha ajuda ,positivo,negativo,negativo,positivo
3059,Bolsonaro,2022-04-17,"A cantora que canta com a bunda Anitta vulgo Antitta não gostou da resposta e bloqueou o Presidente Bolsonaro em sua conta no red bird!
😎🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/HVwsc4rXtE",cantora canta bunda anitta vulgo antitta gostou resposta bloqueou presidente bolsonaro conta red bird ,negativo,neutro,neutro,neutro
3060,Bolsonaro,2022-04-17,gente pq o bolsonaro tweeta com hifen no@comeco,gente pq bolsonaro tweeta hifen,neutro,neutro,neutro,neutro
3061,Bolsonaro,2022-04-17,@8T0KREV_ São tempos difíceis. Tudo culpa do Bolsonaro,tempos dificeis  tudo culpa bolsonaro,negativo,neutro,neutro,negativo
3062,Bolsonaro,2022-04-17,@jrguzzofatos BOLSONARO NÃO ESTÀ SOSINHO... NUNCA ESTEVE E NUNCA ESTARÀ!,bolsonaro esta sosinho    nunca nunca estara ,neutro,neutro,neutro,neutro
3063,Bolsonaro,2022-04-17,Brasil | Jair Bolsonaro celebra un mitin en motocicleta en Sao Paulo https://t.co/ctxZ1Y6xdk via @YouTube,brasil   jair bolsonaro celebra un mitin en motocicleta en sao paulo via,neutro,neutro,neutro,neutro
3064,Bolsonaro,2022-04-17,"@RafaUdfOdontoRF @gleisi @Anitta Kkkkkkkk é divertidissimo ver essa esquerdalha desesperada kkkkkk
Presidente BOLSONARO REELEITO NO 1turno...chorem e espumem. Mudem pra venezuela rapidinho https://t.co/HB8OvxOID8",kkkkkkkk divertidissimo ver esquerdalha desesperada kkkkkk presidente bolsonaro reeleito turno   chorem espumem  mudem pra venezuela rapidinho,neutro,neutro,neutro,positivo
3065,Bolsonaro,2022-04-17,@silvionavarro O Bolsonaro não precisa de fraude para perder as eleições e sim para ganhar. Só fez campanha e merda no mandato que está ocupando.,bolsonaro precisa fraude perder eleicoes sim ganhar  fez campanha merda mandato ocupando ,negativo,neutro,positivo,positivo
3066,Bolsonaro,2022-04-17,"@Aguiarthur Fora Bolsonaro

Isso mesmo 

Amigos 🌵🌵🌵🌵🌵 vamos ajudar 

Fora jessi
Fora jessi

Fora jessi

Fora jessi

Fora Bolsonaro

Fora jessi

Foca no Gshow:
https://t.co/6egg2rQERT

#ForaJessi 

Vai Corinthians

Arthur campeão",bolsonaro amigos vamos ajudar jessi jessi jessi jessi bolsonaro jessi foca gshow  vai corinthians arthur campeao,positivo,neutro,neutro,positivo
3067,Bolsonaro,2022-04-17,"Anitta declarou que é Bolsonaro até pertinho da tatuagem.
https://t.co/1OYNaDViwB",anitta declarou bolsonaro pertinho tatuagem ,neutro,neutro,neutro,neutro
3068,Bolsonaro,2022-04-17,"Bolsonaro deve ter suas redes sociais controlada por alguém de 12 anos, não é possível.",bolsonaro deve ter redes sociais controlada alguem anos  possivel ,positivo,neutro,neutro,positivo
3069,Bolsonaro,2022-04-17,"@reinaldoazevedo A ""esquerda"" mentirosa Lula PT. Também foi xingado por você e alguns de seus colegas, também porta-vozes (travestidos de jornalistas) de dono de imprensa. Agora pagaram a seu chefe, para mandar você criticar o fantoche Bolsonaro!
Veja q vergonha se tivesse! https://t.co/AJ16Mcfh9W", esquerda  mentirosa lula pt  xingado alguns colegas  porta vozes  travestidos jornalistas  dono imprensa  agora pagaram chefe  mandar criticar fantoche bolsonaro  veja q vergonha tivesse ,negativo,neutro,neutro,neutro
3070,Bolsonaro,2022-04-17,@Biakicis @jairbolsonaro Aqui de 9 pessoas ngm!!!! Vtnc Bolsonaro.,aqui pessoas ngm     vtnc bolsonaro ,neutro,neutro,neutro,neutro
3071,Bolsonaro,2022-04-17,"@Biakicis @jairbolsonaro Aqui somos todos Bolsonaro, inclusive os jovens https://t.co/AyFmD8CzUM",aqui todos bolsonaro  inclusive jovens,neutro,neutro,neutro,positivo
3072,Bolsonaro,2022-04-17,"Aqui no morro, odiamo Bolsonaro
Aqui no morro, odiamos o estado
Respeita a tia e os morador
Lembra de ver a moeda dos dois lado🎵🎶",aqui morro  odiamo bolsonaro aqui morro  odiamos estado respeita tia morador lembra ver moeda dois lado,positivo,neutro,neutro,negativo
3073,Bolsonaro,2022-04-17,"@Biakicis O povo espontâneo,  e gosto de apoia Nosso Querido presidente Bolsonaro. Ele ajuda realmente o povo. 🇧🇷🇧🇷🇧🇷🙏👍🤣🤣💚💛",povo espontaneo  gosto apoia querido presidente bolsonaro  ajuda realmente povo ,positivo,positivo,positivo,positivo
3074,Bolsonaro,2022-04-17,"Bolsonaro não consegue vingar um projeto de lei de carteirinha de estudante mas pra esse aqui ele tem poder de ""sequestrar"" todos os órgãos do governo.

Se você ainda dá um pingo de confiança pra gente desse tipo aqui o trouxa é você. https://t.co/qwLEMhbyN6",bolsonaro consegue vingar projeto lei carteirinha estudante pra aqui poder  sequestrar  todos orgaos governo  ainda da pingo confianca pra gente desse tipo aqui trouxa voce ,positivo,neutro,neutro,negativo
3075,Bolsonaro,2022-04-17,Derrotar Bolsonaro? Como enfrentar a desinformação e Ignorância ostentaç... https://t.co/7XArHZE3Ba via @YouTube,derrotar bolsonaro  enfrentar desinformacao ignorancia ostentac    via,negativo,neutro,neutro,neutro
3076,Bolsonaro,2022-04-17,"@LyrioRejane @silveira50 @LeilaLicio @LalaMineiraZi @alinesousil @OInconformado3 @EdneiaCSantos @LNickele @adinaelsilva @Antnio30709619 @Thor054 @VanuzaRocha12 @BergMartins14 @CameloJubeni @Mrlyrio @RE_BOLSONARO #GruNacaoAmadaSDV💚💛
➡️SDV GARANTIDO 🇧🇷 @Jo01524566Jaime 

@silveira50
@LeilaLicio 
@LalaMineiraZi
@alinesousil
@OInconformado3
@EdneiaCSantos
@LNickele
@adinaelsilva
@Antnio30709619
@Thor054
@VanuzaRocha12
@BergMartins14
@CameloJubeni
@LyrioRejane
@Mrlyrio
@RE_BOLSONARO",sdv garantido,positivo,positivo,neutro,neutro
3077,Bolsonaro,2022-04-17,"@FabioCFProf O que que foi-se embora totalmente? Por mim Bolsonaro, sendo chefe supremo das forças armadas, mandava cercar o STF e o Congresso, mas, infelizmente as coisas não funcionam assim. Essa turma acha que o Exercutivo tem superpoderes.",foi se embora totalmente  mim bolsonaro  sendo chefe supremo forcas armadas  mandava cercar stf congresso  mas  infelizmente coisas funcionam assim  turma acha exercutivo superpoderes ,negativo,positivo,positivo,negativo
3078,Bolsonaro,2022-04-17,"@luizcvianna22 @DeputadoFederal Aí  veio o Bolsonaro é transformou o semi árido nordestino em um ""Éden"" aqui na terra. Sei...🤔",ai veio bolsonaro transformou semi arido nordestino  eden  aqui terra  sei   ,negativo,neutro,neutro,neutro
3079,Bolsonaro,2022-04-17,"O ministro da saúde anunciou o fim de alguma coisa que não entendi se é o fim da pandemia, mas com certeza é algo que Bolsonaro mandou pra agradar alguém.",ministro saude anunciou fim alguma coisa entendi fim pandemia  certeza algo bolsonaro mandou pra agradar alguem ,positivo,neutro,neutro,positivo
3080,Bolsonaro,2022-04-17,Fora Bolsonaro o resto são todos ladrões https://t.co/V3GQ4IJEMF,bolsonaro resto todos ladroes,negativo,neutro,neutro,neutro
3081,Bolsonaro,2022-04-17,@BlogdoNoblat Pra votar Bolsonaro minha mão já tá tremendo...🎵🎶🎵🎶 https://t.co/fSjFW50mGz,pra votar bolsonaro mao ta tremendo   ,negativo,negativo,neutro,neutro
3082,Bolsonaro,2022-04-17,"""... ao Ministro Edson FACHIN @TSEjusbr... vai ficar por isso mesmo???""

https://t.co/GuO3JfxkTV",     ministro edson fachin vai ficar mesmo    ,neutro,neutro,neutro,neutro
3083,Bolsonaro,2022-04-17,Gleisi: ataque de Bolsonaro a artistas e ironia para cima de Anitta é tentativa de esconder seus escândalos https://t.co/k55fJ2afOn,gleisi  ataque bolsonaro artistas ironia cima anitta tentativa esconder escandalos,negativo,neutro,neutro,neutro
3084,Bolsonaro,2022-04-17,@MgkMariana @kimpaim Bolsonaro é a única solução para o Brasil.,bolsonaro unica solucao brasil ,positivo,neutro,neutro,neutro
3085,Bolsonaro,2022-04-17,"@Amora96757846 @flaviofk Te confesso que não pesquisei o dono da marca.
Mas, continuo achando que foi um evento religioso.
A proporção que o evento tomou, até confunde com ato político.
Onde tem Bolsonaro, o povo acompanha, isso é fato!",confesso pesquisei dono marca  mas  continuo achando evento religioso  proporcao evento tomou  confunde ato politico  onde bolsonaro  povo acompanha  fato ,negativo,neutro,neutro,neutro
3086,Bolsonaro,2022-04-17,"@showdavida @showdavida aguardando ansiosamente uma reportagem investigativa sobre os ig de fofoca, e seu ganho financeiro na queima de reputação das pessoas e promoção de estelionatários. VAMOS LÁ ESSE VALE O PULITZER. Até do Renan Bolsonaro fizeram campanha de marketing pra promove-lo.",aguardando ansiosamente reportagem investigativa sobre ig fofoca  ganho financeiro queima reputacao pessoas promocao estelionatarios  vamos la vale pulitzer  renan bolsonaro fizeram campanha marketing pra promove lo ,positivo,neutro,neutro,positivo
3087,Bolsonaro,2022-04-17,"Rondônia como sempre Bolsonaro, aí que desgosto, minha gente 🤢 https://t.co/C1jU7nxhUm",rondonia sempre bolsonaro  ai desgosto  gente,negativo,neutro,neutro,neutro
3088,Bolsonaro,2022-04-17,@marflecha @LucianoHangBr Não acredito.  Mas respeito sua opinião..  Mas co. Três anos de Bolsonaro. Não me resta dúvida alguma sobre a Volta do Lula..,acredito  respeito opiniao   co  tres anos bolsonaro  resta duvida alguma sobre volta lula  ,neutro,neutro,neutro,neutro
3089,Bolsonaro,2022-04-17,@GugaNoblat Não importa a sua opinião sobre Jair Bolsonaro. Você mexeu com a fé de milhões de cristãos. Isso é Vilipêndio. Você é o típico esquerdista que prega o respeito e inclusão e faz totalmente o oposto do fala. Não da pra esperar nada de bom de gente como você. Feliz Páscoa.,importa opiniao sobre jair bolsonaro  mexeu fe milhoes cristaos  vilipendio  tipico esquerdista prega respeito inclusao faz totalmente oposto fala  pra esperar nada bom gente voce  feliz pascoa ,positivo,positivo,positivo,positivo
